Model Time, 23LT0001:MeasuredValue, 23LT0002:MeasuredValue, 23PT0001:MeasuredValue, 23PT0002:MeasuredValue, 23PT0003:MeasuredValue, 23FE0001:VolumeFlow, 23TT0003:MeasuredValue, 23LT0001:AlarmHighHigh, 23LT0001:AlarmLowLow, 23LT0001:AlarmHigh, 23LT0001:AlarmLow, 23LT0002:AlarmHighHigh, 23LT0002:AlarmHigh, 23LT0002:AlarmLow, 23LT0002:AlarmLowLow, 23PT0001:AlarmHighHigh, 23PT0001:AlarmHigh, 23PT0001:AlarmLow, 23PT0001:AlarmLowLow, 23LV0001:ValveStemPosition, 23LV0002:ValveStemPosition, 23TV0003:ValveStemPosition, 23UV0001:ValveStemPosition, 25ESV0001:ValveStemPosition, 23ESV0002:ValveStemPosition, 23ESV0003:ValveStemPosition, 23ESV0005:ValveStemPosition, 23KA0001_m:MachineSpeed
, mm, mm, barg, barg, barg, m3/h, C, , , , , , , , , , , , , fraction, fraction, fraction, fraction, fraction, fraction, fraction, fraction, rpm
002:28:48.00, 506.525, 1504.09, 23.4388, 22.7896, 50.3322, 9047.52, 44.3628, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.583676, 0.343062, 0.0282797, 0, 1, 1, 1, 1, 8043.19
002:29:24.00, 511.814, 1515.03, 23.834, 23.6783, 50.3121, 8685.59, 44.4177, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.603147, 0.34914, 0.0268299, 0, 1, 1, 1, 1, 7915.63
002:30:00.00, 502.542, 1507.71, 25.5315, 25.5638, 50.3897, 9453.96, 44.445, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.58939, 0.346243, 0.0268603, 0.00354538, 1, 1, 1, 1, 8152.73
002:30:36.00, 493.118, 1494.28, 23.5533, 23.301, 50.4182, 9755.95, 45.7121, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.568447, 0.339552, 0.0316014, 0.00665744, 1, 1, 1, 1, 8096.11
002:31:12.00, 498.527, 1497.52, 23.8313, 23.3963, 50.3659, 9200.23, 44.7926, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.575063, 0.340685, 0.0274756, 0, 1, 1, 1, 1, 8042.7
002:31:48.00, 495.286, 1489.25, 24.6535, 23.8935, 50.403, 9514.35, 44.9976, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.56558, 0.335872, 0.0276164, 0, 1, 1, 1, 1, 8194.64
002:32:24.00, 501.675, 1502.11, 24.4069, 24.7165, 50.3786, 9081.79, 44.9066, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.577969, 0.342069, 0.0278207, 0.0022373, 1, 1, 1, 1, 7937.73
002:33:00.00, 501.014, 1500.59, 23.5534, 23.1286, 50.3636, 9065.35, 44.8368, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.574865, 0.341447, 0.0280572, 0, 1, 1, 1, 1, 7990.37
002:33:36.00, 493.188, 1495.76, 23.7902, 23.7774, 50.4394, 10034.9, 46.3952, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.562115, 0.339433, 0.0333657, 0.0111729, 1, 1, 1, 1, 8132.25
002:34:12.00, 494.091, 1485.36, 23.5193, 22.7439, 50.3864, 9394.82, 44.8513, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.559037, 0.333787, 0.0290921, 0, 1, 1, 1, 1, 8127.28
002:34:48.00, 502.455, 1504.38, 23.4346, 23.4606, 50.2776, 8685.33, 43.9109, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.577791, 0.343226, 0.0256167, 0.0235406, 1, 1, 1, 1, 7888.29
002:35:24.00, 497.954, 1502.8, 24.7584, 24.286, 50.3858, 9481.15, 44.8096, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.567816, 0.342609, 0.0268994, 0, 1, 1, 1, 1, 8198.42
